City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,puerto ayacucho,5.6639,-67.6236,34.29,37,66,2.6,VE,1675541261
193,hami,42.8,93.45,-0.85,36,100,1.97,CN,1675541452
194,sao jose da coroa grande,-8.8978,-35.1478,27.18,74,56,4.08,BR,1675541545
195,lima,-12.0432,-77.0282,25.14,65,0,7.72,PE,1675541122
196,mosquera,4.7059,-74.2302,18.05,63,75,10.29,CO,1675541545
197,artigas,-30.4,-56.4667,31.75,19,0,6.93,UY,1675541545
198,ust-maya,60.4167,134.5333,-33.81,100,100,0.43,RU,1675541546
199,zhangye,38.9342,100.4517,-3.51,46,10,1.02,CN,1675541546
200,caravelas,-17.7125,-39.2481,28.26,71,7,4.98,BR,1675541382
201,singaparna,-7.3515,108.111,21.69,89,97,1.38,ID,1675541546
202,olafsvik,64.8945,-23.7142,2.82,68,99,11.99,IS,1675541315
203,marzuq,14.4,46.4667,17.93,72,18,1.72,YE,1675541547
204,tazovskiy,67.4667,78.7,-14.19,96,100,1.86,RU,1675541547
205,tra vinh,9.9347,106.3453,24.52,78,96,5.35,VN,1675541548
206,aklavik,68.2191,-135.0107,-40.12,99,53,0.69,CA,1675541447
207,trinidad,-14.8333,-64.9,28.99,70,40,2.06,BO,1675541548
208,sorgun,39.8101,35.186,-3.0,91,100,1.52,TR,1675541549
209,almaznyy,48.0448,40.045,-6.02,94,15,1.23,RU,1675541549
210,novoorsk,51.381,58.9813,-20.23,91,17,3.7,RU,1675541550
211,omboue,-1.5746,9.2618,26.1,85,99,2.04,GA,1675541474
212,revelstoke,50.9832,-118.2023,1.01,93,100,1.03,CA,1675541444
213,kyshtovka,56.555,76.6271,-19.26,100,100,0.41,RU,1675541550
214,kanigoro,-8.13,112.219,22.69,86,99,1.26,ID,1675541550
215,clyde river,70.4692,-68.5914,-24.66,87,100,2.79,CA,1675541551
216,san pedro del parana,-26.8333,-56.2,33.79,23,87,1.75,PY,1675541551
217,akdagmadeni,39.6603,35.8836,-3.06,87,100,1.74,TR,1675541551
218,sirsa,29.5333,75.0167,14.58,34,0,2.59,IN,1675541552
219,tiksi,71.6872,128.8694,-25.29,100,100,2.09,RU,1675541537
220,evensk,61.95,159.2333,-19.25,82,100,3.73,RU,1675541256
221,cordoba,-31.4135,-64.1811,30.98,32,2,0.45,AR,1675541366
222,yenisehir,40.2644,29.6531,2.03,100,75,0.51,TR,1675541458
223,deputatskiy,69.3,139.9,-34.69,99,99,1.67,RU,1675541552
224,merauke,-8.4667,140.3333,24.75,92,100,2.59,ID,1675541552
225,hakui,36.8833,136.7833,2.91,86,100,2.23,JP,1675541553
226,igrim,63.1906,64.4162,-14.4,98,100,1.68,RU,1675541553
227,torbay,47.6666,-52.7314,-13.01,81,100,14.4,CA,1675541482
228,guilin,25.2819,110.2864,7.93,89,100,2.09,CN,1675541256
229,katherine,-14.4667,132.2667,23.18,94,15,0.0,AU,1675541323
230,akhtanizovskaya,45.32,37.1,1.94,77,93,4.19,RU,1675541553
231,aquiraz,-3.9014,-38.3911,29.05,76,87,4.17,BR,1675541554
232,longyearbyen,78.2186,15.6401,-11.09,79,0,6.17,SJ,1675541235
233,ordynskoye,54.3656,81.8994,-19.15,100,100,1.85,RU,1675541554
234,sorland,67.667,12.6934,2.92,90,100,17.47,NO,1675541554
235,ambon,-3.6954,128.1814,24.08,94,40,2.57,ID,1675541555
236,havoysund,70.9963,24.6622,-2.87,84,100,4.24,NO,1675541555
237,port blair,11.6667,92.75,26.02,89,40,1.03,IN,1675541036
238,ribeira grande,38.5167,-28.7,17.1,88,20,4.92,PT,1675541131
239,shenzhen,22.5455,114.0683,17.97,89,100,2.27,CN,1675541555
240,magadan,59.5667,150.8,-25.0,82,59,2.89,RU,1675541555
241,lebu,-37.6167,-73.65,18.98,79,51,4.85,CL,1675541253
242,avarua,-21.2078,-159.775,28.03,83,40,6.69,CK,1675541176
243,talnakh,69.4865,88.3972,-11.55,96,100,2.72,RU,1675541554
244,rodrigues alves,-7.738,-72.6509,27.29,78,99,1.53,BR,1675541556
245,christchurch,-43.5333,172.6333,26.29,57,97,7.2,NZ,1675541431
246,udachnyy,66.4167,112.4,-40.31,72,92,0.09,RU,1675541556
247,zelenets,61.8849,50.7489,-8.86,100,100,0.46,RU,1675541556
248,mehamn,71.0357,27.8492,-2.03,80,100,1.54,NO,1675541265
249,santo antonio do leverger,-15.8656,-56.0767,31.21,58,100,0.84,BR,1675541557
250,nanortalik,60.1432,-45.2371,-3.39,81,100,11.95,GL,1675541138
251,tocopilla,-22.092,-70.1979,23.72,73,8,1.95,CL,1675541339
252,damaturu,11.747,11.9608,25.22,14,98,4.4,NG,1675541557
253,yar-sale,66.8333,70.8333,-10.65,96,100,2.21,RU,1675541489
254,qaanaaq,77.484,-69.3632,-18.87,66,100,2.48,GL,1675541223
255,mikkeli,61.6886,27.2723,-14.92,85,0,2.06,FI,1675541558
256,aksha,50.2814,113.2867,-20.61,98,69,1.82,RU,1675541558
257,hearst,49.6835,-83.6665,-6.35,85,100,4.97,CA,1675541522
258,pinega,64.7001,43.3936,-22.01,100,39,1.49,RU,1675541558
259,itarema,-2.9248,-39.9167,27.5,76,41,6.69,BR,1675541559
260,chongwe,-15.3292,28.682,19.01,94,100,0.85,ZM,1675541559
261,tessalit,20.1986,1.0114,17.48,14,65,4.78,ML,1675541465
262,progreso,21.2833,-89.6667,22.06,72,66,7.7,MX,1675541559
263,verkhnyaya inta,65.9811,60.3094,-13.67,98,94,2.62,RU,1675541559
264,kartarpur,31.44,75.4997,11.68,66,2,2.73,IN,1675541560
265,gorom-gorom,14.4439,-0.2361,28.29,13,38,4.48,BF,1675541560
266,naze,28.3667,129.4833,12.82,68,100,4.81,JP,1675541255
267,nha trang,12.25,109.1833,24.0,81,100,2.18,VN,1675541470
268,mudon,16.2578,97.7164,23.16,85,4,0.77,MM,1675541560
269,panalingaan,8.7842,117.4231,24.69,84,96,1.07,PH,1675541539
270,cabedelo,-6.9811,-34.8339,29.37,74,42,5.75,BR,1675541561
271,pisco,-13.7,-76.2167,24.03,83,0,3.6,PE,1675541432
272,mutis,6.2262,-77.4044,27.65,77,100,3.25,CO,1675541561
273,chengzihe,45.3333,131.0667,-15.39,94,100,1.08,CN,1675541562
274,trois-rivieres,46.3501,-72.5491,-21.96,64,97,2.68,CA,1675541414
275,mollendo,-17.0231,-72.0147,25.15,74,60,3.02,PE,1675541562
276,kuala sungai baru,2.3594,102.0353,24.12,87,100,4.38,MY,1675541562
277,asheville,35.6009,-82.554,9.23,40,0,3.6,US,1675541537
278,camacha,33.0833,-16.3333,14.68,63,40,6.69,PT,1675541521
279,zhuhai,22.2769,113.5678,18.81,82,40,2.57,CN,1675541504
280,solnechnyy,50.7214,136.6319,-25.39,98,98,1.15,RU,1675541563
281,carnarvon,-24.8667,113.6333,25.65,72,2,1.63,AU,1675541150
282,georgiyevka,43.0369,74.7114,1.02,80,0,5.0,KZ,1675541563
283,dingle,10.9995,122.6711,23.63,94,99,4.1,PH,1675541448
284,rocha,-34.4833,-54.3333,21.03,81,52,8.63,UY,1675541328
285,kishi,9.0833,3.85,31.32,16,38,1.83,NG,1675541563
286,brae,60.3964,-1.353,6.34,64,100,11.38,GB,1675541564
287,kenai,60.5544,-151.2583,-4.36,87,100,2.06,US,1675541262
288,tautira,-17.7333,-149.15,26.22,78,56,6.16,PF,1675540972
289,mar del plata,-38.0023,-57.5575,23.79,64,0,7.72,AR,1675541014
290,saldanha,-33.0117,17.9442,18.88,96,81,6.94,ZA,1675541483
291,zonguldak,41.25,31.8333,-1.09,75,99,1.94,TR,1675541564
292,hammerfest,70.6634,23.6821,-1.75,80,40,2.06,NO,1675541500
